NOMENCLATURA,CONVOCATORIA_INICIO,CONVOCATORIA_FIN,CONSULTAS_INICIO,CONSULTAS_FIN,BUENA_PRO
LP-SM-31-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-15T23:59:00-05:00,2025-02-25T00:00:00-05:00
CP-SM-15-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-19T00:00:00-05:00
CP-SM-19-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,2025-02-18T00:00:00-05:00
CP-SM-71-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-16T23:59:00-05:00,2025-03-03T00:00:00-05:00
CP-SM-28-2024-ELSE-1,2024-12-05T00:00:00-05:00,2024-12-05T00:00:00-05:00,2024-12-06T00:01:00-05:00,2024-12-26T23:59:00-05:00,2025-02-12T00:00:00-05:00
CP-SM-20-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-15T23:59:00-05:00,2025-02-21T00:00:00-05:00
CP-SM-22-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-18T00:00:00-05:00
CP-SM-11-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,2025-02-11T00:00:00-05:00
CP-SM-32-2024-ELSE-1,2024-12-16T00:00:00-05:00,2024-12-16T00:00:00-05:00,2024-12-17T00:01:00-05:00,2025-01-07T23:59:00-05:00,2025-02-10T00:00:00-05:00
CP-SM-68-2024-ELSE-1,2024-12-03T00:00:00-05:00,2024-12-03T00:00:00-05:00,2024-12-04T00:01:00-05:00,2024-12-19T23:59:00-05:00,2025-01-28T00:00:00-05:00
CP-SM-74-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,2025-02-25T00:00:00-05:00
CP-SM-52-2024-ELSE-1,2024-12-05T00:00:00-05:00,2024-12-05T00:00:00-05:00,2024-12-06T00:01:00-05:00,2024-12-27T23:59:00-05:00,
CP-SM-70-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-07T00:00:00-05:00
CP-SM-33-2024-ELSE-1,2024-12-19T00:00:00-05:00,2024-12-19T00:00:00-05:00,2024-12-20T00:01:00-05:00,2025-01-13T23:59:00-05:00,2025-02-18T00:00:00-05:00
CP-SM-4-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-17T23:59:00-05:00,2025-02-18T00:00:00-05:00
AS-SM-79-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-02T23:59:00-05:00,2025-01-20T00:00:00-05:00
LP-SM-30-2024-ELSE-1,2024-12-17T00:00:00-05:00,2024-12-17T00:00:00-05:00,2024-12-18T00:01:00-05:00,2025-01-09T23:59:00-05:00,2025-02-14T00:00:00-05:00
LP-SM-7-2024-ELSE-1,2024-12-12T00:00:00-05:00,2024-12-12T00:00:00-05:00,2024-12-13T00:01:00-05:00,2025-01-03T23:59:00-05:00,
CP-SM-75-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-15T23:59:00-05:00,
CP-SM-76-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-15T23:59:00-05:00,
CP-SM-73-2024-ELSE-1,2024-12-27T00:00:00-05:00,2024-12-27T00:00:00-05:00,2024-12-28T00:01:00-05:00,2025-01-15T23:59:00-05:00,
CP-SM-72-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,
CP-SM-52-2024-ELSE-1,2024-12-05T00:00:00-05:00,2024-12-05T00:00:00-05:00,2024-12-06T00:01:00-05:00,2024-12-27T23:59:00-05:00,
CP-SM-50-2024-ELSE-1,2024-12-12T00:00:00-05:00,2024-12-12T00:00:00-05:00,2024-12-13T00:01:00-05:00,2025-01-03T23:59:00-05:00,
CP-SM-38-2024-ELSE-1,2024-12-18T00:00:00-05:00,2024-12-18T00:00:00-05:00,2024-12-19T00:01:00-05:00,2025-01-09T23:59:00-05:00,
CP-SM-16-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-16T23:59:00-05:00,
CP-SM-69-2024-ELSE-1,2024-12-13T00:00:00-05:00,2024-12-13T00:00:00-05:00,2024-12-14T00:01:00-05:00,2025-01-07T23:59:00-05:00,
CP-SM-17-2024-ELSE-1,2024-12-26T00:00:00-05:00,2024-12-26T00:00:00-05:00,2024-12-27T00:01:00-05:00,2025-01-14T23:59:00-05:00,
LP-SM-30-2024-ELSE-1,2024-12-17T00:00:00-05:00,2024-12-17T00:00:00-05:00,2024-12-18T00:01:00-05:00,2025-01-09T23:59:00-05:00,
LP-SM-7-2024-ELSE-1,2024-12-12T00:00:00-05:00,2024-12-12T00:00:00-05:00,2024-12-13T00:01:00-05:00,2025-01-03T23:59:00-05:00,
AS-SM-69-2024-ELSE-2,2024-12-13T00:00:00-05:00,2024-12-13T00:00:00-05:00,2024-12-14T00:01:00-05:00,2024-12-18T23:59:00-05:00,
SIE-SIE-4-2024-ELSE-2,2024-12-05T00:00:00-05:00,2024-12-05T00:00:00-05:00,,,
AS-SM-30-2024-ELSE-1,2024-12-03T00:00:00-05:00,2024-12-03T00:00:00-05:00,2024-12-04T00:01:00-05:00,2024-12-10T23:59:00-05:00,
LP-SM-28-2024-ELSE-1,2024-11-29T00:00:00-05:00,2024-11-29T00:00:00-05:00,2024-11-30T00:01:00-05:00,2024-12-17T23:59:00-05:00,2025-01-31T00:00:00-05:00
AS-SM-31-2024-ELSE-1,2024-11-04T00:00:00-05:00,2024-11-04T00:00:00-05:00,2024-11-05T00:01:00-05:00,2024-11-08T23:59:00-05:00,2025-01-03T00:00:00-05:00
CP-SM-31-2024-ELSE-1,2024-11-05T00:00:00-05:00,2024-11-05T00:00:00-05:00,2024-11-06T00:01:00-05:00,2024-11-19T23:59:00-05:00,2025-01-15T00:00:00-05:00
LP-SM-11-2024-ELSE-1,2024-11-27T00:00:00-05:00,2024-11-27T00:00:00-05:00,2024-11-28T00:01:00-05:00,2024-12-13T23:59:00-05:00,2025-01-23T00:00:00-05:00
CP-SM-12-2024-ELSE-1,2024-11-26T00:00:00-05:00,2024-11-26T00:00:00-05:00,2024-11-27T00:01:00-05:00,2024-12-13T23:59:00-05:00,2025-01-23T00:00:00-05:00
CP-SM-13-2024-ELSE-1,2024-11-21T00:00:00-05:00,2024-11-21T00:00:00-05:00,2024-11-22T00:01:00-05:00,2024-12-10T23:59:00-05:00,2025-01-17T00:00:00-05:00
CP-SM-10-2024-ELSE-1,2024-11-12T00:00:00-05:00,2024-11-12T00:00:00-05:00,2024-11-13T00:01:00-05:00,2024-11-27T23:59:00-05:00,2025-01-08T00:00:00-05:00
LP-SM-27-2024-ELSE-1,2024-11-07T00:00:00-05:00,2024-11-07T00:00:00-05:00,2024-11-08T00:01:00-05:00,2024-11-21T23:59:00-05:00,2024-12-27T00:00:00-05:00
AS-SM-78-2024-ELSE-1,2024-11-29T00:00:00-05:00,2024-11-29T00:00:00-05:00,2024-11-30T00:01:00-05:00,2024-12-04T23:59:00-05:00,2024-09-16T00:00:00-05:00
AS-SM-24-2024-ELSE-1,2024-11-18T00:00:00-05:00,2024-11-18T00:00:00-05:00,2024-11-19T00:01:00-05:00,2024-11-21T23:59:00-05:00,2024-12-19T00:00:00-05:00
AS-SM-19-2024-ELSE-1,2024-11-28T00:00:00-05:00,2024-11-28T00:00:00-05:00,2024-11-29T00:01:00-05:00,2024-12-03T23:59:00-05:00,2024-12-27T00:00:00-05:00
AS-SM-77-2024-ELSE-1,2024-11-19T00:00:00-05:00,2024-11-19T00:00:00-05:00,2024-11-20T00:01:00-05:00,2024-11-22T23:59:00-05:00,2024-12-17T00:00:00-05:00
AS-SM-76-2024-ELSE-1,2024-11-15T00:00:00-05:00,2024-11-15T00:00:00-05:00,2024-11-16T00:01:00-05:00,2024-11-20T23:59:00-05:00,2024-12-10T00:00:00-05:00
LP-SM-28-2024-ELSE-1,2024-11-29T00:00:00-05:00,2024-11-29T00:00:00-05:00,2024-11-30T00:01:00-05:00,2024-12-17T23:59:00-05:00,
AS-SM-33-2024-ELSE-1,2024-11-07T00:00:00-05:00,2024-11-07T00:00:00-05:00,2024-11-08T00:01:00-05:00,2024-11-12T23:59:00-05:00,
LP-SM-6-2024-ELSE-1,2024-10-10T00:00:00-05:00,2024-10-10T00:00:00-05:00,2024-10-11T00:01:00-05:00,2024-10-24T23:59:00-05:00,2024-12-10T00:00:00-05:00
CP-SM-67-2024-ELSE-1,2024-10-11T00:00:00-05:00,2024-10-11T00:00:00-05:00,2024-10-12T00:01:00-05:00,2024-10-25T23:59:00-05:00,2025-03-19T00:00:00-05:00
LP-SM-6-2024-ELSE-1,2024-10-10T00:00:00-05:00,2024-10-10T00:00:00-05:00,2024-10-11T00:01:00-05:00,2024-10-24T23:59:00-05:00,2025-01-22T00:00:00-05:00
CP-SM-39-2024-ELSE-1,2024-10-29T00:00:00-05:00,2024-10-29T00:00:00-05:00,2024-10-30T00:01:00-05:00,2024-11-14T23:59:00-05:00,2024-12-16T00:00:00-05:00
AS-SM-75-2024-ELSE-1,2024-10-31T00:00:00-05:00,2024-10-31T00:00:00-05:00,2024-11-01T00:01:00-05:00,2024-11-06T23:59:00-05:00,2025-01-09T00:00:00-05:00
CP-SM-24-2024-ELSE-1,2024-10-17T00:00:00-05:00,2024-10-17T00:00:00-05:00,2024-10-18T00:01:00-05:00,2024-10-31T23:59:00-05:00,2024-12-03T00:00:00-05:00
AS-SM-12-2024-ELSE-1,2024-10-18T00:00:00-05:00,2024-10-18T00:00:00-05:00,2024-10-19T00:01:00-05:00,2024-10-23T23:59:00-05:00,2024-11-14T00:00:00-05:00
SIE-SIE-4-2024-ELSE-1,2024-10-24T00:00:00-05:00,2024-10-24T00:00:00-05:00,,,
AS-SM-74-2024-ELSE-1,2024-10-10T00:00:00-05:00,2024-10-10T00:00:00-05:00,2024-10-11T00:01:00-05:00,2024-10-15T23:59:00-05:00,
LP-SM-23-2024-ELSE-1,2024-09-10T00:00:00-05:00,2024-09-10T00:00:00-05:00,2024-09-11T00:01:00-05:00,2024-09-24T23:59:00-05:00,2024-10-18T00:00:00-05:00
CP-SM-65-2024-ELSE-1,2024-09-19T00:00:00-05:00,2024-09-19T00:00:00-05:00,2024-09-20T00:01:00-05:00,2024-10-03T23:59:00-05:00,2024-12-02T00:00:00-05:00
LP-SM-17-2024-ELSE-1,2024-09-16T00:00:00-05:00,2024-09-16T00:00:00-05:00,2024-09-17T00:01:00-05:00,2024-09-30T23:59:00-05:00,2024-12-04T00:00:00-05:00
CP-SM-66-2024-ELSE-1,2024-09-25T00:00:00-05:00,2024-09-25T00:00:00-05:00,2024-09-26T00:01:00-05:00,2024-10-11T23:59:00-05:00,2024-11-26T00:00:00-05:00
CP-SM-44-2024-ELSE-1,2024-09-24T00:00:00-05:00,2024-09-24T00:00:00-05:00,2024-09-25T00:01:00-05:00,2024-10-10T23:59:00-05:00,2024-11-12T00:00:00-05:00
CP-SM-8-2024-ELSE-1,2024-09-05T00:00:00-05:00,2024-09-05T00:00:00-05:00,2024-09-06T00:01:00-05:00,2024-09-19T23:59:00-05:00,2024-11-15T00:00:00-05:00
LP-SM-24-2024-ELSE-1,2024-09-23T00:00:00-05:00,2024-09-23T00:00:00-05:00,2024-09-24T00:01:00-05:00,2024-10-09T23:59:00-05:00,2024-11-08T00:00:00-05:00
AS-SM-72-2024-ELSE-1,2024-09-10T00:00:00-05:00,2024-09-10T00:00:00-05:00,2024-09-11T00:01:00-05:00,2024-09-16T23:59:00-05:00,2024-11-25T00:00:00-05:00
AS-SM-71-2024-ELSE-1,2024-09-05T00:00:00-05:00,2024-09-05T00:00:00-05:00,2024-09-06T00:01:00-05:00,2024-09-11T23:59:00-05:00,2024-10-23T00:00:00-05:00
AS-SM-73-2024-ELSE-1,2024-09-17T00:00:00-05:00,2024-09-17T00:00:00-05:00,2024-09-18T00:01:00-05:00,2024-09-20T23:59:00-05:00,2024-10-28T00:00:00-05:00
CP-SM-42-2024-ELSE-1,2024-09-12T00:00:00-05:00,2024-09-12T00:00:00-05:00,2024-09-13T00:01:00-05:00,2024-09-26T23:59:00-05:00,2024-10-29T00:00:00-05:00
AS-SM-72-2024-ELSE-1,2024-09-10T00:00:00-05:00,2024-09-10T00:00:00-05:00,2024-09-11T00:01:00-05:00,2024-09-16T23:59:00-05:00,2024-10-10T00:00:00-05:00
AS-SM-70-2024-ELSE-1,2024-08-14T00:00:00-05:00,2024-08-14T00:00:00-05:00,2024-08-15T00:01:00-05:00,2024-08-16T23:59:00-05:00,2024-09-03T00:00:00-05:00
LP-SM-16-2024-ELSE-1,2024-08-22T00:00:00-05:00,2024-08-22T00:00:00-05:00,2024-08-23T00:01:00-05:00,2024-09-09T23:59:00-05:00,2024-10-14T00:00:00-05:00
AS-SM-15-2024-ELSE-1,2024-08-23T00:00:00-05:00,2024-08-23T00:00:00-05:00,2024-08-24T00:01:00-05:00,2024-08-27T23:59:00-05:00,2024-09-10T00:00:00-05:00
CP-SM-3-2024-ELSE-1,2024-08-28T00:00:00-05:00,2024-08-28T00:00:00-05:00,2024-08-29T00:01:00-05:00,2024-09-12T23:59:00-05:00,2024-11-25T00:00:00-05:00
