NOMENCLATURA,CONVOCATORIA_INICIO,CONVOCATORIA_FIN,CONSULTAS_INICIO,CONSULTAS_FIN,BUENA_PRO
CP-SM-41-2024-ELSE-1,2024-08-28T00:00:00-05:00,2024-08-28T00:00:00-05:00,2024-08-29T00:01:00-05:00,2024-09-12T23:59:00-05:00,2024-10-24T00:00:00-05:00
CP-SM-63-2024-ELSE-1,2024-08-19T00:00:00-05:00,2024-08-19T00:00:00-05:00,2024-08-20T00:01:00-05:00,2024-09-04T23:59:00-05:00,2024-10-21T00:00:00-05:00
AS-SM-57-2024-ELSE-1,2024-08-20T00:00:00-05:00,2024-08-20T00:00:00-05:00,2024-08-21T00:01:00-05:00,2024-08-23T23:59:00-05:00,2024-10-28T00:00:00-05:00
CP-SM-46-2024-ELSE-1,2024-08-16T00:00:00-05:00,2024-08-16T00:00:00-05:00,2024-08-17T00:01:00-05:00,2024-09-02T23:59:00-05:00,
CP-SM-46-2024-ELSE-1,2024-08-16T00:00:00-05:00,2024-08-16T00:00:00-05:00,2024-08-17T00:01:00-05:00,2024-09-02T23:59:00-05:00,2024-09-26T00:00:00-05:00
AS-SM-13-2024-ELSE-1,2024-08-29T00:00:00-05:00,2024-08-29T00:00:00-05:00,2024-08-30T00:01:00-05:00,2024-09-05T23:59:00-05:00,2024-10-02T00:00:00-05:00
CP-SM-27-2024-ELSE-1,2024-08-01T00:00:00-05:00,2024-08-01T00:00:00-05:00,2024-08-02T00:01:00-05:00,2024-08-16T23:59:00-05:00,
AS-SM-39-2024-ELSE-1,2024-08-23T00:00:00-05:00,2024-08-23T00:00:00-05:00,2024-08-24T00:01:00-05:00,2024-08-28T23:59:00-05:00,2024-09-24T00:00:00-05:00
CP-SM-27-2024-ELSE-1,2024-08-01T00:00:00-05:00,2024-08-01T00:00:00-05:00,2024-08-02T00:01:00-05:00,2024-08-16T23:59:00-05:00,
LP-SM-22-2024-ELSE-1,2024-07-09T00:00:00-05:00,2024-07-09T00:00:00-05:00,2024-07-10T00:01:00-05:00,2024-07-24T23:59:00-05:00,2024-09-05T00:00:00-05:00
LP-SM-9-2024-ELSE-1,2024-07-15T00:00:00-05:00,2024-07-15T00:00:00-05:00,2024-07-16T00:01:00-05:00,2024-08-01T23:59:00-05:00,2024-12-04T00:00:00-05:00
CP-SM-29-2024-ELSE-1,2024-07-03T00:00:00-05:00,2024-07-03T00:00:00-05:00,2024-07-04T00:01:00-05:00,2024-07-17T23:59:00-05:00,2024-08-28T00:00:00-05:00
AS-SM-58-2024-ELSE-1,2024-07-02T00:00:00-05:00,2024-07-02T00:00:00-05:00,2024-07-03T00:01:00-05:00,2024-07-08T23:59:00-05:00,2024-08-09T00:00:00-05:00
CP-SM-62-2024-ELSE-1,2024-07-05T00:00:00-05:00,2024-07-05T00:00:00-05:00,2024-07-06T00:01:00-05:00,2024-07-19T23:59:00-05:00,2024-09-06T00:00:00-05:00
AS-SM-52-2024-ELSE-2,2024-07-15T00:00:00-05:00,2024-07-15T00:00:00-05:00,2024-07-16T00:01:00-05:00,2024-07-18T23:59:00-05:00,2024-09-06T00:00:00-05:00
CP-SM-2-2024-ELSE-1,2024-07-08T00:00:00-05:00,2024-07-08T00:00:00-05:00,2024-07-09T00:01:00-05:00,2024-07-22T23:59:00-05:00,
AS-SM-21-2024-ELSE-1,2024-07-11T00:00:00-05:00,2024-07-11T00:00:00-05:00,2024-07-12T00:01:00-05:00,2024-07-16T23:59:00-05:00,2024-10-17T00:00:00-05:00
LP-SM-12-2024-ELSE-1,2024-07-04T00:00:00-05:00,2024-07-04T00:00:00-05:00,2024-07-05T00:01:00-05:00,2024-07-18T23:59:00-05:00,2024-08-28T00:00:00-05:00
AS-SM-29-2024-ELSE-1,2024-07-19T00:00:00-05:00,2024-07-19T00:00:00-05:00,2024-07-20T00:01:00-05:00,2024-07-25T23:59:00-05:00,2024-08-27T00:00:00-05:00
LP-SM-9-2024-ELSE-1,2024-07-15T00:00:00-05:00,2024-07-15T00:00:00-05:00,2024-07-16T00:01:00-05:00,2024-08-01T23:59:00-05:00,
CP-SM-26-2024-ELSE-1,2024-07-30T00:00:00-05:00,2024-07-30T00:00:00-05:00,2024-07-31T00:01:00-05:00,2024-08-14T23:59:00-05:00,
CP-SM-62-2024-ELSE-1,2024-07-05T00:00:00-05:00,2024-07-05T00:00:00-05:00,2024-07-06T00:01:00-05:00,2024-07-19T23:59:00-05:00,
LP-SM-12-2024-ELSE-1,2024-07-04T00:00:00-05:00,2024-07-04T00:00:00-05:00,2024-07-05T00:01:00-05:00,2024-07-18T23:59:00-05:00,
AS-SM-69-2024-ELSE-1,2024-07-05T00:00:00-05:00,2024-07-05T00:00:00-05:00,2024-07-06T00:01:00-05:00,2024-07-10T23:59:00-05:00,
AS-SM-41-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-06-27T23:59:00-05:00,2024-07-22T00:00:00-05:00
AS-SM-68-2024-ELSE-1,2024-06-17T00:00:00-05:00,2024-06-17T00:00:00-05:00,2024-06-18T00:01:00-05:00,2024-06-19T23:59:00-05:00,2024-07-11T00:00:00-05:00
AS-SM-38-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-06-24T23:59:00-05:00,2024-08-14T00:00:00-05:00
CP-SM-45-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-07-04T23:59:00-05:00,2024-09-10T00:00:00-05:00
AS-SM-13-2023-ELSE-2,2024-06-19T00:00:00-05:00,2024-06-19T00:00:00-05:00,2024-06-20T00:01:00-05:00,2024-06-24T23:59:00-05:00,2024-07-12T00:00:00-05:00
AS-SM-38-2024-ELSE-1,2024-06-20T00:00:00-05:00,2024-06-20T00:00:00-05:00,2024-06-21T00:01:00-05:00,2024-06-24T23:59:00-05:00,2024-07-11T00:00:00-05:00
AS-SM-66-2024-ELSE-1,2024-06-18T00:00:00-05:00,2024-06-18T00:00:00-05:00,2024-06-19T00:01:00-05:00,2024-06-21T23:59:00-05:00,2024-07-15T00:00:00-05:00
CP-SM-1-2024-ELSE-1,2024-05-22T00:00:00-05:00,2024-05-22T00:00:00-05:00,2024-05-23T00:01:00-05:00,2024-06-05T23:59:00-05:00,2024-09-20T00:00:00-05:00
AS-SM-5-2024-ELSE-1,2024-05-28T00:00:00-05:00,2024-05-28T00:00:00-05:00,2024-05-29T00:01:00-05:00,2024-06-03T23:59:00-05:00,2024-07-19T00:00:00-05:00
CP-SM-1-2024-ELSE-1,2024-05-22T00:00:00-05:00,2024-05-22T00:00:00-05:00,2024-05-23T00:01:00-05:00,2024-06-05T23:59:00-05:00,2024-08-01T00:00:00-05:00
AS-SM-44-2024-ELSE-2,2024-05-29T00:00:00-05:00,2024-05-29T00:00:00-05:00,2024-05-30T00:01:00-05:00,2024-06-04T23:59:00-05:00,
AS-SM-20-2024-ELSE-1,2024-05-22T00:00:00-05:00,2024-05-22T00:00:00-05:00,2024-05-23T00:01:00-05:00,2024-05-27T23:59:00-05:00,2024-07-02T00:00:00-05:00
CP-SM-60-2024-ELSE-1,2024-05-15T00:00:00-05:00,2024-05-15T00:00:00-05:00,2024-05-16T00:01:00-05:00,2024-05-29T23:59:00-05:00,2024-07-15T00:00:00-05:00
CP-SM-9-2024-ELSE-1,2024-05-10T00:00:00-05:00,2024-05-10T00:00:00-05:00,2024-05-11T00:01:00-05:00,2024-05-24T23:59:00-05:00,
AS-SM-36-2024-ELSE-1,2024-05-06T00:00:00-05:00,2024-05-06T00:00:00-05:00,2024-05-07T00:01:00-05:00,2024-05-10T23:59:00-05:00,2024-05-29T00:00:00-05:00
AS-SM-52-2024-ELSE-1,2024-05-22T00:00:00-05:00,2024-05-22T00:00:00-05:00,2024-05-23T00:01:00-05:00,2024-05-29T23:59:00-05:00,
SIE-SIE-2-2024-ELSE-1,2024-05-14T00:00:00-05:00,2024-05-14T00:00:00-05:00,,,
CP-SM-58-2024-ELSE-1,2024-04-24T00:00:00-05:00,2024-04-24T00:00:00-05:00,2024-04-25T00:01:00-05:00,2024-05-09T23:59:00-05:00,2024-06-05T00:00:00-05:00
AS-SM-35-2024-ELSE-1,2024-04-25T00:00:00-05:00,2024-04-25T00:00:00-05:00,2024-04-26T00:01:00-05:00,2024-04-30T23:59:00-05:00,2024-06-06T00:00:00-05:00
AS-SM-64-2024-ELSE-1,2024-04-30T00:00:00-05:00,2024-04-30T00:00:00-05:00,2024-05-01T00:01:00-05:00,2024-05-07T23:59:00-05:00,2024-06-10T00:00:00-05:00
AS-SM-44-2023-ELSE-2,2024-04-16T00:00:00-05:00,2024-04-16T00:00:00-05:00,2024-04-17T00:01:00-05:00,2024-04-19T23:59:00-05:00,2024-05-28T00:00:00-05:00
CP-SM-59-2024-ELSE-1,2024-04-22T00:00:00-05:00,2024-04-22T00:00:00-05:00,2024-04-23T00:01:00-05:00,2024-05-07T23:59:00-05:00,2024-06-05T00:00:00-05:00
SIE-SIE-7-2024-ELSE-1,2024-04-11T00:00:00-05:00,2024-04-11T00:00:00-05:00,,,2024-05-08T00:00:00-05:00
AS-SM-27-2024-ELSE-1,2024-04-05T00:00:00-05:00,2024-04-05T00:00:00-05:00,2024-04-06T00:01:00-05:00,2024-04-10T23:59:00-05:00,2024-05-06T00:00:00-05:00
AS-SM-44-2024-ELSE-1,2024-04-22T00:00:00-05:00,2024-04-22T00:00:00-05:00,2024-04-23T00:01:00-05:00,2024-04-25T23:59:00-05:00,
AS-SM-1-2024-ELSE-1,2024-03-25T00:00:00-05:00,2024-03-25T00:00:00-05:00,2024-03-26T00:01:00-05:00,2024-04-01T23:59:00-05:00,2024-05-09T00:00:00-05:00
AS-SM-63-2024-ELSE-1,2024-03-20T00:00:00-05:00,2024-03-20T00:00:00-05:00,2024-03-21T00:01:00-05:00,2024-03-22T23:59:00-05:00,2024-04-23T00:00:00-05:00
CP-SM-37-2024-ELSE-1,2024-03-14T00:00:00-05:00,2024-03-14T00:00:00-05:00,2024-03-15T00:01:00-05:00,2024-04-01T23:59:00-05:00,2024-04-25T00:00:00-05:00
AS-SM-23-2024-ELSE-1,2024-03-04T00:00:00-05:00,2024-03-04T00:00:00-05:00,2024-03-05T00:01:00-05:00,2024-03-07T23:59:00-05:00,2024-03-27T00:00:00-05:00
AS-SM-61-2024-ELSE-1,2024-03-06T00:00:00-05:00,2024-03-06T00:00:00-05:00,2024-03-07T00:01:00-05:00,2024-03-11T23:59:00-05:00,2024-05-08T00:00:00-05:00
AS-SM-28-2024-ELSE-1,2024-03-11T00:00:00-05:00,2024-03-11T00:00:00-05:00,2024-03-12T00:01:00-05:00,2024-03-15T23:59:00-05:00,2024-04-15T00:00:00-05:00
LP-SM-2-2024-ELSE-1,2024-03-25T00:00:00-05:00,2024-03-25T00:00:00-05:00,2024-03-26T00:01:00-05:00,2024-04-10T23:59:00-05:00,2024-06-10T00:00:00-05:00
CP-SM-47-2024-ELSE-1,2024-03-19T00:00:00-05:00,2024-03-19T00:00:00-05:00,2024-03-20T00:01:00-05:00,2024-04-04T23:59:00-05:00,2024-05-08T00:00:00-05:00
AS-SM-62-2024-ELSE-1,2024-03-14T00:00:00-05:00,2024-03-14T00:00:00-05:00,2024-03-15T00:01:00-05:00,2024-03-19T23:59:00-05:00,2024-05-09T00:00:00-05:00
CP-SM-56-2024-ELSE-1,2024-03-19T00:00:00-05:00,2024-03-19T00:00:00-05:00,2024-03-20T00:01:00-05:00,2024-04-04T23:59:00-05:00,2024-04-25T00:00:00-05:00
SIE-SIE-3-2024-ELSE-1,2024-03-20T00:00:00-05:00,2024-03-20T00:00:00-05:00,,,2024-04-11T00:00:00-05:00
CP-SM-54-2024-ELSE-1,2024-02-15T00:00:00-05:00,2024-02-15T00:00:00-05:00,2024-02-16T00:01:00-05:00,2024-02-29T23:59:00-05:00,2024-04-04T00:00:00-05:00
AS-SM-51-2023-ELSE-2,2024-02-27T00:00:00-05:00,2024-02-27T00:00:00-05:00,2024-02-28T00:01:00-05:00,2024-03-01T23:59:00-05:00,2024-04-03T00:00:00-05:00
LP-SM-1-2024-ELSE-1,2024-02-14T00:00:00-05:00,2024-02-14T00:00:00-05:00,2024-02-15T00:01:00-05:00,2024-02-28T23:59:00-05:00,2024-04-18T00:00:00-05:00
CP-SM-40-2024-ELSE-1,2024-02-22T00:00:00-05:00,2024-02-22T00:00:00-05:00,2024-02-23T00:01:00-05:00,2024-03-07T23:59:00-05:00,2024-04-23T00:00:00-05:00
CP-SM-7-2024-ELSE-1,2024-02-22T00:00:00-05:00,2024-02-22T00:00:00-05:00,2024-02-23T00:01:00-05:00,2024-03-07T23:59:00-05:00,2024-04-26T00:00:00-05:00
CP-SM-18-2024-ELSE-1,2024-02-02T00:00:00-05:00,2024-02-02T00:00:00-05:00,2024-02-03T00:01:00-05:00,2024-02-16T23:59:00-05:00,2024-03-27T00:00:00-05:00
SIE-SIE-6-2024-ELSE-1,2024-02-28T00:00:00-05:00,2024-02-28T00:00:00-05:00,,,2024-04-03T00:00:00-05:00
CP-SM-36-2024-ELSE-1,2024-02-08T00:00:00-05:00,2024-02-08T00:00:00-05:00,2024-02-09T00:01:00-05:00,2024-02-22T23:59:00-05:00,2024-04-02T00:00:00-05:00
CP-SM-5-2024-ELSE-1,2024-02-05T00:00:00-05:00,2024-02-05T00:00:00-05:00,2024-02-06T00:01:00-05:00,2024-02-19T23:59:00-05:00,2024-03-18T00:00:00-05:00
CP-SM-6-2024-ELSE-1,2024-02-01T00:00:00-05:00,2024-02-01T00:00:00-05:00,2024-02-02T00:01:00-05:00,2024-02-15T23:59:00-05:00,2024-03-08T00:00:00-05:00
LP-SM-1-2024-ELSE-1,2024-02-14T00:00:00-05:00,2024-02-14T00:00:00-05:00,2024-02-15T00:01:00-05:00,2024-02-28T23:59:00-05:00,
AS-SM-37-2024-ELSE-1,2024-01-26T00:00:00-05:00,2024-01-26T00:00:00-05:00,2024-01-27T00:01:00-05:00,2024-01-31T23:59:00-05:00,2024-02-15T00:00:00-05:00
CP-SM-35-2024-ELSE-1,2024-01-24T00:00:00-05:00,2024-01-24T00:00:00-05:00,2024-01-25T00:01:00-05:00,2024-02-07T23:59:00-05:00,2024-03-13T00:00:00-05:00
SIE-SIE-8-2024-ELSE-1,2024-01-26T00:00:00-05:00,2024-01-26T00:00:00-05:00,,,2024-02-16T00:00:00-05:00
